"date","book","game","game_id","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","units_standardized","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net","units_standardized_bet","units_standardized_net","unique_play"
2024-06-07,"FanDuel","DAL @ LAS",1022400058,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0968,933,0.0714,1300,0.0254,0.0137,1.3668,1.43873684210526,2024-06-07 22:41:22,1,"Kia Nurse","Loss",1.3668,-1.3668,1.43873684210526,-1.43873684210526,"FPTS_Kia Nurse_2024-06-07"
2024-06-07,"Caesars","DAL @ LAS",1022400058,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1089,818,0.0952,950,0.0137,0.0076,0.7574,0.797263157894737,2024-06-07 22:41:22,1,"Monique Billings","Win",0.7574,7.1953,0.797263157894737,7.574,"FPTS_Monique Billings_2024-06-07"
2024-06-07,"Caesars","DAL @ LAS",1022400058,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0966,935,0.0769,1200,0.0197,0.0107,1.068,1.12421052631579,2024-06-07 22:41:22,1,"Rickea Jackson","Loss",1.068,-1.068,1.12421052631579,-1.12421052631579,"FPTS_Rickea Jackson_2024-06-07"
2024-06-07,"Draft Kings","DAL @ LAS",1022400058,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0749,1234,0.0556,1700,0.0194,0.0103,1.0268,1.08084210526316,2024-06-07 22:41:22,1,"Sevgi Uzun","Loss",1.0268,-1.0268,1.08084210526316,-1.08084210526316,"FPTS_Sevgi Uzun_2024-06-07"
2024-06-07,"FanDuel","DAL @ LAS",1022400058,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.191,424,0.1538,550,0.0372,0.022,2.1966,1.44513157894737,2024-06-07 22:41:22,1,"Kia Nurse","Loss",2.1966,-2.1966,1.44513157894737,-1.44513157894737,"FPTS Team_Kia Nurse_2024-06-07"
2024-06-07,"FanDuel","DAL @ LAS",1022400058,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1907,424,0.1786,460,0.0121,0.0074,0.737,0.484868421052632,2024-06-07 22:41:22,1,"Rickea Jackson","Loss",0.737,-0.737,0.484868421052632,-0.484868421052632,"FPTS Team_Rickea Jackson_2024-06-07"
2024-06-07,"FanDuel","DAL @ LAS",1022400058,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1396,616,0.1053,850,0.0344,0.0192,1.9199,1.26309210526316,2024-06-07 22:41:22,1,"Sevgi Uzun","Loss",1.9199,-1.9199,1.26309210526316,-1.26309210526316,"FPTS Team_Sevgi Uzun_2024-06-07"
2024-06-07,"Caesars","IND @ WAS",1022400056,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1439,595,0.1,900,0.0439,0.0244,2.4412,2.56968421052632,2024-06-07 22:41:22,1,"Aaliyah Edwards","Loss",2.4412,-2.4412,2.56968421052632,-2.56968421052632,"FPTS_Aaliyah Edwards_2024-06-07"
2024-06-07,"BetRivers","IND @ WAS",1022400056,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0787,1170,0.0667,1400,0.012,0.0065,0.6454,0.679368421052632,2024-06-07 22:41:22,1,"Kristy Wallace","Loss",0.6454,-0.6454,0.679368421052632,-0.679368421052632,"FPTS_Kristy Wallace_2024-06-07"
2024-06-07,"FanDuel","IND @ WAS",1022400056,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.288,247,0.2,400,0.088,0.055,5.4975,3.61677631578947,2024-06-07 22:41:22,1,"Aaliyah Edwards","Win",5.4975,21.99,3.61677631578947,14.4671052631579,"FPTS Team_Aaliyah Edwards_2024-06-07"
2024-06-07,"FanDuel","IND @ WAS",1022400056,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2394,318,0.2222,350,0.0172,0.011,1.1034,0.725921052631579,2024-06-07 22:41:22,1,"Aliyah Boston","Loss",1.1034,-1.1034,0.725921052631579,-0.725921052631579,"FPTS Team_Aliyah Boston_2024-06-07"
2024-06-07,"FanDuel","IND @ WAS",1022400056,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1485,573,0.1176,750,0.0309,0.0175,1.7505,1.15164473684211,2024-06-07 22:41:22,1,"Kristy Wallace","Loss",1.7505,-1.7505,1.15164473684211,-1.15164473684211,"FPTS Team_Kristy Wallace_2024-06-07"
2024-06-07,"Draft Kings","MIN @ PHO",1022400059,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0694,1340,0.0556,1700,0.0139,0.0073,0.7345,0.773157894736842,2024-06-07 22:41:22,1,"Bridget Carleton","Loss",0.7345,-0.7345,0.773157894736842,-0.773157894736842,"FPTS_Bridget Carleton_2024-06-07"
2024-06-07,"BetRivers","MIN @ PHO",1022400059,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0847,1080,0.0667,1400,0.0181,0.0097,0.9671,1.018,2024-06-07 22:41:22,1,"Natasha Cloud","Loss",0.9671,-0.9671,1.018,-1.018,"FPTS_Natasha Cloud_2024-06-07"
2024-06-07,"FanDuel","MIN @ PHO",1022400059,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1566,538,0.1333,650,0.0233,0.0134,1.3441,0.884276315789474,2024-06-08 01:39:37,1,"Natasha Cloud","Loss",1.3441,-1.3441,0.884276315789474,-0.884276315789474,"FPTS Team_Natasha Cloud_2024-06-07"
2024-06-07,"Caesars","SEA @ LVA",1022400057,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0949,953,0.0833,1100,0.0116,0.0063,0.6332,0.666526315789474,2024-06-07 22:41:22,1,"Skylar Diggins-Smith","Loss",0.3166,-0.3166,0.333263157894737,-0.333263157894737,"FPTS_Skylar Diggins-Smith_2024-06-07"
2024-06-07,"FanDuel","SEA @ LVA",1022400057,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0949,953,0.0833,1100,0.0116,0.0063,0.6332,0.666526315789474,2024-06-07 22:41:22,1,"Skylar Diggins-Smith","Loss",0.3166,-0.3166,0.333263157894737,-0.333263157894737,"FPTS_Skylar Diggins-Smith_2024-06-07"
2024-06-07,"Draft Kings","SEA @ LVA",1022400057,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0824,1113,0.0588,1600,0.0236,0.0125,1.2538,1.31978947368421,2024-06-07 22:41:22,1,"Victoria Vivians","Loss",1.2538,-1.2538,1.31978947368421,-1.31978947368421,"FPTS_Victoria Vivians_2024-06-07"
