"date","book","game","game_id","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_book","line_book","prob_model","line_model","edge","kelly","units","units_standardized","run_timestamp_utc","timestamp_id","play","result","units_bet","units_standardized_bet","units_net","units_standardized_net","unique_play"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0833,1100,0.0935,970,0.0101,0.0055,0.5528,0.581894736842105,2025-05-16 15:12:44.111518,1,"Allisha Gray","Loss",0.5528,0.581894736842105,-0.5528,-0.581894736842105,"FPTS_Allisha Gray_2025-05-16"
2025-05-16,"MGM","ATL @ WAS",1022500001,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0833,1100,0.1071,833,0.0238,0.013,1.2989,1.36726315789474,2025-05-16 23:24:57.412192,8,"Allisha Gray","Loss",0.7461,0.785368421052635,-0.7461,-0.785368421052635,"FPTS_Allisha Gray_2025-05-16"
2025-05-16,"BetRivers","ATL @ WAS",1022500001,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.1111,800,0.1269,688,0.0158,0.0089,0.8901,0.936947368421053,2025-05-16 23:24:57.412192,1,"Brionna Jones","Loss",0.8901,0.936947368421053,-0.8901,-0.936947368421053,"FPTS_Brionna Jones_2025-05-16"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0714,1300,0.0994,906,0.028,0.0151,1.5071,1.58642105263158,2025-05-16 23:24:57.412192,1,"Stefanie Dolson","Loss",1.5071,1.58642105263158,-1.5071,-1.58642105263158,"FPTS_Stefanie Dolson_2025-05-16"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0385,2500,0.0497,1911,0.0113,0.0059,0.586,0.723456790123457,2025-05-16 23:24:57.412192,1,"Brittney Sykes_other_fg","Loss",0.586,0.723456790123457,-0.586,-0.723456790123457,"FPTS Exact_Brittney Sykes_other_fg_2025-05-16"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1538,550,0.1652,505,0.0114,0.0067,0.6719,0.442039473684211,2025-05-16 15:12:44.111518,1,"Allisha Gray","Loss",0.6719,0.442039473684211,-0.6719,-0.442039473684211,"FPTS Team_Allisha Gray_2025-05-16"
2025-05-16,"MGM","ATL @ WAS",1022500001,"FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.1429,600,0.1877,433,0.0448,0.0262,2.615,1.72039473684211,2025-05-16 23:24:57.412192,8,"Allisha Gray","Loss",1.9431,1.2783552631579,-1.9431,-1.2783552631579,"FPTS Team_Allisha Gray_2025-05-16"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1667,500,0.2289,337,0.0623,0.0374,3.7359,2.45782894736842,2025-05-16 23:24:57.412192,1,"Stefanie Dolson","Loss",3.7359,2.45782894736842,-3.7359,-2.45782894736842,"FPTS Team_Stefanie Dolson_2025-05-16"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.4237,136,0.4343,130,0.0105,0.0091,0.4572,0.333722627737226,2025-05-16 16:53:24.689742,1,"1Q_WAS","Loss",0.4572,0.333722627737226,-0.4572,-0.333722627737226,"FTTS_1Q_WAS_2025-05-16"
2025-05-16,"FanDuel","ATL @ WAS",1022500001,"FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.4167,140,0.4343,130,0.0176,0.0151,0.7543,0.550583941605839,2025-05-16 20:59:15.154511,5,"1Q_WAS","Loss",0.2971,0.216861313868613,-0.2971,-0.216861313868613,"FTTS_1Q_WAS_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0769,1200,0.0924,982,0.0155,0.0084,0.8389,0.883052631578947,2025-05-16 13:17:02.467823,1,"Odyssey Sims","Loss",0.8389,0.883052631578947,-0.8389,-0.883052631578947,"FPTS_Odyssey Sims_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0714,1300,0.0924,982,0.021,0.0113,1.1298,1.18926315789474,2025-05-16 15:12:44.111518,2,"Odyssey Sims","Loss",0.2909,0.306210526315793,-0.2909,-0.306210526315793,"FPTS_Odyssey Sims_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0952,950,0.1097,812,0.0144,0.008,0.7973,0.839263157894737,2025-05-16 16:53:24.689742,1,"Temi Fagbenle","Loss",0.7973,0.839263157894737,-0.7973,-0.839263157894737,"FPTS_Temi Fagbenle_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0667,1400,0.0857,1067,0.019,0.0102,1.0195,1.07315789473684,2025-05-16 18:10:49.006167,1,"Veronica Burton","Loss",1.0195,1.07315789473684,-1.0195,-1.07315789473684,"FPTS_Veronica Burton_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2273,340,0.2771,261,0.0498,0.0323,3.2256,2.1221052631579,2025-05-17 00:42:51.942497,11,"Dearica Hamby","Loss",1.0288,0.67684210526316,-1.0288,-0.67684210526316,"FPTS Team_Dearica Hamby_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2439,310,0.2771,261,0.0332,0.022,2.1968,1.44526315789474,2025-05-16 16:53:24.689742,3,"Dearica Hamby","Loss",0.3886,0.25565789473685,-0.3886,-0.25565789473685,"FPTS Team_Dearica Hamby_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.25,300,0.2771,261,0.0271,0.0181,1.8082,1.18960526315789,2025-05-16 13:17:02.467823,1,"Dearica Hamby","Loss",1.8082,1.18960526315789,-1.8082,-1.18960526315789,"FPTS Team_Dearica Hamby_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.125,700,0.1869,435,0.0619,0.0354,3.5358,2.32618421052632,2025-05-16 13:17:02.467823,1,"Odyssey Sims","Loss",3.5358,2.32618421052632,-3.5358,-2.32618421052632,"FPTS Team_Odyssey Sims_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1429,600,0.1695,490,0.0267,0.0156,1.5559,1.02361842105263,2025-05-16 18:10:49.006167,1,"Veronica Burton","Loss",1.5559,1.02361842105263,-1.5559,-1.02361842105263,"FPTS Team_Veronica Burton_2025-05-16"
2025-05-16,"FanDuel","LAS @ GSV",1022500003,"FTTS","First Points","Team","Quarter","Home/Away","Favorite/Underdog",0.4673,114,0.5055,-102,0.0382,0.0359,1.7932,1.30890510948905,2025-05-16 13:17:02.467823,1,"1Q_GSV","Win",1.7932,1.30890510948905,2.044248,1.49215182481752,"FTTS_1Q_GSV_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1,900,0.1114,798,0.0114,0.0063,0.6314,0.664631578947368,2025-05-16 15:12:44.111518,1,"Arike Ogunbowale","Loss",0.6314,0.664631578947368,-0.6314,-0.664631578947368,"FPTS_Arike Ogunbowale_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0952,950,0.1114,798,0.0161,0.0089,0.8912,0.938105263157895,2025-05-16 16:53:24.689742,2,"Arike Ogunbowale","Loss",0.2598,0.273473684210527,-0.2598,-0.273473684210527,"FPTS_Arike Ogunbowale_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0714,1300,0.116,762,0.0446,0.024,2.4024,2.52884210526316,2025-05-16 16:53:24.689742,3,"DiJonai Carrington","Loss",0.2834,0.29831578947369,-0.2834,-0.29831578947369,"FPTS_DiJonai Carrington_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0769,1200,0.116,762,0.0391,0.0212,2.119,2.23052631578947,2025-05-16 15:12:44.111518,2,"DiJonai Carrington","Loss",0.3348,0.35242105263157,-0.3348,-0.35242105263157,"FPTS_DiJonai Carrington_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0833,1100,0.116,762,0.0327,0.0178,1.7842,1.8781052631579,2025-05-16 13:17:02.467823,1,"DiJonai Carrington","Loss",1.7842,1.8781052631579,-1.7842,-1.8781052631579,"FPTS_DiJonai Carrington_2025-05-16"
2025-05-16,"BetRivers","MIN @ DAL",1022500002,"FPTS","First FGM","Player","Game","Home/Away","Favorite/Underdog",0.0769,1200,0.1018,883,0.0249,0.0135,1.3463,1.41715789473684,2025-05-16 23:24:57.412192,1,"Jessica Shepard","Loss",1.3463,1.41715789473684,-1.3463,-1.41715789473684,"FPTS_Jessica Shepard_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1053,850,0.1197,735,0.0144,0.0081,0.8068,0.849263157894737,2025-05-16 23:24:57.412192,1,"Myisha Hines-Allen","Loss",0.8068,0.849263157894737,-0.8068,-0.849263157894737,"FPTS_Myisha Hines-Allen_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0233,4200,0.0339,2847,0.0107,0.0055,0.5468,0.675061728395062,2025-05-16 18:10:49.006167,1,"Arike Ogunbowale_layup","Loss",0.5468,0.675061728395062,-0.5468,-0.675061728395062,"FPTS Exact_Arike Ogunbowale_layup_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0196,5000,0.037,2600,0.0174,0.0089,0.8887,1.09716049382716,2025-05-16 23:24:57.412192,9,"Courtney Williams_layup","Loss",0.8887,1.09716049382716,-0.8887,-1.09716049382716,"FPTS Exact_Courtney Williams_layup_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1923,420,0.2063,385,0.014,0.0086,0.8642,0.568552631578947,2025-05-16 15:12:44.111518,1,"Arike Ogunbowale","Loss",0.8642,0.568552631578947,-0.8642,-0.568552631578947,"FPTS Team_Arike Ogunbowale_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1786,460,0.2063,385,0.0277,0.0169,1.6858,1.10907894736842,2025-05-16 16:53:24.689742,2,"Arike Ogunbowale","Loss",0.8216,0.540526315789473,-0.8216,-0.540526315789473,"FPTS Team_Arike Ogunbowale_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1333,650,0.2149,365,0.0816,0.0471,4.7077,3.09717105263158,2025-05-16 16:53:24.689742,3,"DiJonai Carrington","Loss",0.5032,0.33105263157895,-0.5032,-0.33105263157895,"FPTS Team_DiJonai Carrington_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1429,600,0.2149,365,0.0721,0.042,4.2045,2.76611842105263,2025-05-16 13:17:02.467823,1,"DiJonai Carrington","Loss",4.2045,2.76611842105263,-4.2045,-2.76611842105263,"FPTS Team_DiJonai Carrington_2025-05-16"
2025-05-16,"MGM","MIN @ DAL",1022500002,"FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.1429,600,0.2261,342,0.0833,0.0486,4.8578,3.19592105263158,2025-05-16 23:24:57.412192,9,"DiJonai Carrington","Loss",0.1501,0.0987500000000003,-0.1501,-0.0987500000000003,"FPTS Team_DiJonai Carrington_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1538,550,0.1713,484,0.0175,0.0103,1.0341,0.680328947368421,2025-05-16 13:17:02.467823,1,"Jessica Shepard","Win",1.0341,0.680328947368421,5.68755,3.74180921052632,"FPTS Team_Jessica Shepard_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1667,500,0.1888,430,0.0221,0.0133,1.3274,0.87328947368421,2025-05-16 23:24:57.412192,6,"Jessica Shepard","Win",0.2933,0.192960526315789,1.4665,0.964802631578945,"FPTS Team_Jessica Shepard_2025-05-16"
2025-05-16,"FanDuel","MIN @ DAL",1022500002,"FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2,400,0.2451,308,0.0451,0.0282,2.8193,1.85480263157895,2025-05-16 23:24:57.412192,1,"Myisha Hines-Allen","Loss",2.8193,1.85480263157895,-2.8193,-1.85480263157895,"FPTS Team_Myisha Hines-Allen_2025-05-16"
2025-05-17,"FanDuel","CHI @ IND",1022500004,"FPTS","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1176,750,0.1347,642,0.0171,0.0097,0.9679,1.01884210526316,2025-05-17 16:51:11.499836,1,"Angel Reese","Loss",0.9679,1.01884210526316,-0.9679,-1.01884210526316,"FPTS_Angel Reese_2025-05-17"
