"date","book","game","game_id","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","units_standardized","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net","units_standardized_bet","units_standardized_net"
2026-05-08,"FanDuel","CON @ NYL","1022600001","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1575,535,0.1333,650,0.0241,0.0139,1.3927,0.650794392523364,2026-05-08 23:19:26.420889,1,"Kennedy Burke","Loss",1.3927,-1.3927,0.650794392523364,-0.650794392523364
2026-05-08,"FanDuel","GSV @ SEA","1022600003","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1404,612,0.125,700,0.0154,0.0088,0.8794,0.745254237288136,2026-05-08 17:36:57.041986,1,"Natisha Hiedeman","Loss",0.8794,-0.8794,0.745254237288136,-0.745254237288136
2026-05-08,"FanDuel","GSV @ SEA","1022600003","First Basket Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0424,2258,0.0278,3500,0.0146,0.0075,0.7521,1.12253731343284,2026-05-08 15:46:44.964326,1,"Natisha Hiedeman other","Loss",0.7521,-0.7521,1.12253731343284,-1.12253731343284
2026-05-08,"FanDuel","GSV @ SEA","1022600003","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.255,292,0.2326,330,0.0224,0.0146,1.4618,0.683084112149533,2026-05-08 15:46:44.939302,1,"Natisha Hiedeman","Loss",1.4618,-1.4618,0.683084112149533,-0.683084112149533
2026-05-08,"FanDuel","GSV @ SEA","1022600003","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.255,292,0.2222,350,0.0328,0.0211,2.1068,0.984485981308411,2026-05-08 17:36:57.103773,3,"Natisha Hiedeman","Loss",0.645,-0.645,0.301401869158878,-0.301401869158878
2026-05-08,"Draft Kings","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.128,682,0.1,900,0.028,0.0155,1.5532,1.31627118644068,2026-05-08 15:46:44.877917,1,"Brittney Sykes","Loss",0.7766,-0.7766,0.65813559322034,-0.65813559322034
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.128,682,0.1,900,0.028,0.0155,1.5532,1.31627118644068,2026-05-08 15:46:44.877917,1,"Brittney Sykes","Loss",0.7766,-0.7766,0.65813559322034,-0.65813559322034
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.128,682,0.0952,950,0.0327,0.0181,1.8082,1.53237288135593,2026-05-08 17:36:57.041986,3,"Brittney Sykes","Loss",0.255,-0.255,0.21610169491525,-0.21610169491525
2026-05-08,"Caesars","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0875,1043,0.0769,1200,0.0105,0.0057,0.5707,0.48364406779661,2026-05-08 15:46:44.877917,1,"Julie Allemand","Loss",0.190233333333333,-0.190233333333333,0.161214689265537,-0.161214689265537
2026-05-08,"Draft Kings","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0875,1043,0.0769,1200,0.0105,0.0057,0.5707,0.48364406779661,2026-05-08 15:46:44.877917,1,"Julie Allemand","Loss",0.190233333333333,-0.190233333333333,0.161214689265537,-0.161214689265537
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0875,1043,0.0769,1200,0.0105,0.0057,0.5707,0.48364406779661,2026-05-08 15:46:44.877917,1,"Julie Allemand","Loss",0.190233333333333,-0.190233333333333,0.161214689265537,-0.161214689265537
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.0875,1043,0.0667,1400,0.0208,0.0111,1.1138,0.943898305084746,2026-05-08 17:36:57.041986,3,"Julie Allemand","Loss",0.5431,-0.5431,0.460254237288136,-0.460254237288136
2026-05-08,"Draft Kings","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1476,578,0.1333,650,0.0142,0.0082,0.8211,0.695847457627119,2026-05-08 15:46:44.877917,1,"Kiki Iriafen","Loss",0.8211,-0.8211,0.695847457627119,-0.695847457627119
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1324,655,0.1176,750,0.0148,0.0084,0.8365,0.708898305084746,2026-05-08 21:02:56.674523,1,"Marina Mabrey","Loss",0.8365,-0.8365,0.708898305084746,-0.708898305084746
2026-05-08,"Draft Kings","WAS @ TOR","1022600002","First Basket","First Points","Player","Game","Home/Away","Favorite/Underdog",0.1139,778,0.1,900,0.0139,0.0077,0.7743,0.656186440677966,2026-05-08 22:34:26.557619,1,"Nyara Sabally","Loss",0.7743,-0.7743,0.656186440677966,-0.656186440677966
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0393,2446,0.0196,5000,0.0197,0.01,1.0028,1.49671641791045,2026-05-08 15:46:44.964326,1,"Brittney Sykes other","Loss",1.0028,-1.0028,1.49671641791045,-1.49671641791045
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0578,1630,0.0385,2500,0.0194,0.0101,1.0063,1.50194029850746,2026-05-08 15:46:44.964326,1,"Kiki Iriafen other","Loss",1.0063,-1.0063,1.50194029850746,-1.50194029850746
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0385,2495,0.0278,3500,0.0108,0.0055,0.553,0.825373134328358,2026-05-08 15:46:44.964326,1,"Marina Mabrey layup","Loss",0.553,-0.553,0.825373134328358,-0.825373134328358
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.046,2073,0.0357,2700,0.0103,0.0053,0.5347,0.798059701492537,2026-05-08 15:46:44.964326,1,"Marina Mabrey other","Loss",0.5347,-0.5347,0.798059701492537,-0.798059701492537
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2423,313,0.1923,420,0.05,0.031,3.0953,1.44640186915888,2026-05-08 15:46:44.939302,1,"Brittney Sykes","Win",3.0953,13.00026,1.44640186915888,6.0748878504673
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2423,313,0.1887,430,0.0536,0.0331,3.3051,1.54443925233645,2026-05-08 18:06:15.230037,4,"Brittney Sykes","Win",0.2098,0.90214,0.09803738317757,0.421560747663551
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1656,504,0.1429,600,0.0228,0.0133,1.3276,0.620373831775701,2026-05-08 15:46:44.939302,1,"Julie Allemand","Loss",1.3276,-1.3276,0.620373831775701,-0.620373831775701
2026-05-08,"FanDuel","WAS @ TOR","1022600002","First Basket by Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1656,504,0.1333,650,0.0323,0.0186,1.8625,0.870327102803738,2026-05-08 17:36:57.103773,3,"Julie Allemand","Loss",0.5349,-0.5349,0.249953271028037,-0.249953271028037
