"game_date","game","player_id","player_name","team_abbreviation","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-06-05,"CON @ CHI","1642809","Saniya Rivers","CON",2026-06-05 15:51:23.799004,"dk",0.1667,500,-0.0245,-0.0147,-1.4683,0.1422,603,-0.741565656565657
2026-06-05,"CON @ CHI","1642303","Leila Lacan","CON",2026-06-05 15:51:23.799004,"dk",0.3279,205,-0.1119,-0.0832,-8.3243,0.216,363,-4.20419191919192
2026-06-05,"CON @ CHI","1642800","Aneesah Morrow","CON",2026-06-05 15:51:23.799004,"dk",0.274,265,-0.0939,-0.0646,-6.464,0.1801,455,-3.26464646464646
2026-06-05,"CON @ CHI","1641649","Diamond Miller","CON",2026-06-05 15:51:23.799004,"dk",0.2632,280,-0.0031,-0.0021,-0.2089,0.2601,284,-0.10550505050505
2026-06-05,"CON @ CHI","203398","Brittney Griner","CON",2026-06-05 15:51:23.799004,"dk",0.0769,1200,-0.0083,-0.0045,-0.4484,0.0686,1357,-0.226464646464646
2026-06-05,"CON @ CHI","203400","Skylar Diggins","CHI",2026-06-05 15:51:23.799004,"dk",0.1739,475,-0.0171,-0.0104,-1.0368,0.1568,538,-0.523636363636364
2026-06-05,"CON @ CHI","204333","Natasha Cloud","CHI",2026-06-05 15:51:23.799004,"dk",0.2667,275,-0.0799,-0.0545,-5.4473,0.1868,435,-2.75116161616162
2026-06-05,"CON @ CHI","1642292","Jacy Sheldon","CHI",2026-06-05 15:51:23.799004,"dk",0.2778,260,-0.0415,-0.0287,-2.8704,0.2363,323,-1.44969696969697
2026-06-05,"CON @ CHI","1628922","Azura Stevens","CHI",2026-06-05 15:51:23.799004,"dk",0.3448,190,-0.0577,-0.044,-4.4035,0.2871,248,-2.2239898989899
2026-06-05,"CON @ CHI","1642289","Kamilla Cardoso","CHI",2026-06-05 15:51:23.799004,"dk",0.0667,1400,-0.0667,-0.0357,-3.5714,0,Inf,-1.80373737373737
2026-06-05,"DAL @ LAS","1629481","Arike Ogunbowale","DAL",2026-06-05 15:51:23.799004,"dk",0.2597,285,-0.0582,-0.0393,-3.9317,0.2015,396,-1.98570707070707
2026-06-05,"DAL @ LAS","1642784","Paige Bueckers","DAL",2026-06-05 15:51:23.799004,"dk",0.1905,425,-0.0356,-0.022,-2.2016,0.1548,546,-1.11191919191919
2026-06-05,"DAL @ LAS","1643425","Azzi Fudd","DAL",2026-06-05 15:51:23.799004,"dk",0.2632,280,-0.0045,-0.0031,-0.3067,0.2586,287,-0.15489898989899
2026-06-05,"DAL @ LAS","1641652","Maddy Siegrist","DAL",2026-06-05 15:51:23.799004,"dk",0.3077,225,-0.1095,-0.0791,-7.9065,0.1982,404,-3.99318181818182
2026-06-05,"DAL @ LAS","1629491","Jessica Shepard","DAL",2026-06-05 15:51:23.799004,"dk",0.1111,800,-0.0573,-0.0322,-3.2247,0.0538,1759,-1.62863636363636
2026-06-05,"DAL @ LAS","1628878","Ariel Atkins","LAS",2026-06-05 15:51:23.799004,"dk",0.2857,250,-0.0831,-0.0582,-5.8183,0.2026,394,-2.93853535353535
2026-06-05,"DAL @ LAS","204365","Erica Wheeler","LAS",2026-06-05 15:51:23.799004,"dk",0.1739,475,-0.0104,-0.0063,-0.6286,0.1635,512,-0.317474747474748
