"game_date","game","player_id","player_name","team_abbreviation","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 15:46:44.877917,"br",0.1,900,-0.0125,-0.0069,-0.6949,0.0875,1043,-0.588898305084746
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 15:46:44.877917,"csr",0.0952,950,-0.0057,-0.0031,-0.3141,0.0896,1017,-0.266186440677966
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 15:46:44.877917,"dk",0.0909,1000,-0.0014,-7e-04,-0.0745,0.0896,1017,-0.063135593220339
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 15:46:44.877917,"fd",0.0909,1000,-0.0014,-7e-04,-0.0745,0.0896,1017,-0.063135593220339
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 15:46:44.877917,"br",0.1538,550,-0.0474,-0.028,-2.8003,0.1065,839,-2.37313559322034
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 15:46:44.877917,"csr",0.1481,575,-0.05,-0.0294,-2.937,0.0981,919,-2.48898305084746
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 15:46:44.877917,"dk",0.1333,650,-0.0352,-0.0203,-2.0321,0.0981,919,-1.7221186440678
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 15:46:44.877917,"fd",0.1538,550,-0.0557,-0.0329,-3.2935,0.0981,919,-2.79110169491525
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 15:46:44.877917,"br",0.1,900,-0.0136,-0.0076,-0.7567,0.0864,1058,-0.641271186440678
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 15:46:44.877917,"csr",0.0952,950,-0.0104,-0.0057,-0.5731,0.0849,1078,-0.485677966101695
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 15:46:44.877917,"dk",0.0909,1000,-0.006,-0.0033,-0.3323,0.0849,1078,-0.281610169491525
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 15:46:44.877917,"fd",0.0909,1000,-0.006,-0.0033,-0.3323,0.0849,1078,-0.281610169491525
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 15:46:44.877917,"br",0.2,400,-0.0486,-0.0304,-3.0384,0.1514,561,-2.57491525423729
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 15:46:44.877917,"csr",0.2,400,-0.034,-0.0213,-2.1277,0.166,503,-1.80313559322034
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 15:46:44.877917,"dk",0.1905,425,-0.0245,-0.0151,-1.5144,0.166,503,-1.28338983050847
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 15:46:44.877917,"fd",0.2041,390,-0.0381,-0.024,-2.395,0.166,503,-2.02966101694915
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 15:46:44.877917,"br",0.0769,1200,-0.0263,-0.0142,-1.4248,0.0506,1876,-1.20745762711864
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 15:46:44.877917,"csr",0.0909,1000,-0.0454,-0.025,-2.495,0.0455,2096,-2.11440677966102
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 15:46:44.877917,"dk",0.0909,1000,-0.0454,-0.025,-2.495,0.0455,2096,-2.11440677966102
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 15:46:44.877917,"fd",0.0833,1100,-0.0378,-0.0206,-2.0612,0.0455,2096,-1.74677966101695
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 15:46:44.877917,"br",0.0909,1000,-0.0089,-0.0049,-0.4897,0.082,1119,-0.415
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 15:46:44.877917,"csr",0.0909,1000,-0.0122,-0.0067,-0.6684,0.0788,1170,-0.566440677966102
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 15:46:44.877917,"dk",0.0909,1000,-0.0122,-0.0067,-0.6684,0.0788,1170,-0.566440677966102
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 15:46:44.877917,"fd",0.0909,1000,-0.0122,-0.0067,-0.6684,0.0788,1170,-0.566440677966102
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 15:46:44.877917,"br",0.0769,1200,0.0221,0.012,1.1979,0.099,910,1.01516949152542
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 15:46:44.877917,"csr",0.0769,1200,0.0148,0.008,0.8007,0.0917,990,0.678559322033898
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 15:46:44.877917,"dk",0.0667,1400,0.025,0.0134,1.3414,0.0917,990,1.13677966101695
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 15:46:44.877917,"fd",0.0769,1200,0.0148,0.008,0.8007,0.0917,990,0.678559322033898
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 15:46:44.877917,"br",0.1818,450,-0.0536,-0.0327,-3.2745,0.1282,680,-2.775
