"game_date","game","player_id","player_name","team_abbreviation","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON",2026-05-08 15:46:44.939302,"fd",0.1667,500,-5e-04,-3e-04,-0.0297,0.1662,502,-0.0138785046728972
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON",2026-05-08 15:46:44.939302,"fd",0.2778,260,-0.0957,-0.0663,-6.6276,0.182,449,-3.09700934579439
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON",2026-05-08 15:46:44.939302,"fd",0.1667,500,-0.0092,-0.0055,-0.5516,0.1575,535,-0.257757009345794
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON",2026-05-08 15:46:44.939302,"fd",0.3704,170,-0.0624,-0.0496,-4.958,0.3079,225,-2.31682242990654
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL",2026-05-08 15:46:44.939302,"fd",0.1724,480,-0.0736,-0.0445,-4.4486,0.0988,912,-2.07878504672897
2026-05-08,"CON @ NYL","204335","Betnijah Laney-Hamilton","NYL",2026-05-08 15:46:44.939302,"fd",0.1754,470,-0.0046,-0.0028,-0.2806,0.1708,485,-0.131121495327103
2026-05-08,"CON @ NYL","203822","Rebekah Gardner","NYL",2026-05-08 15:46:44.939302,"fd",0.1667,500,0.0322,0.0193,1.9339,0.1989,403,0.903691588785047
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL",2026-05-08 15:46:44.939302,"fd",0.3636,175,-0.0724,-0.0569,-5.6865,0.2913,243,-2.65724299065421
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL",2026-05-08 15:46:44.939302,"fd",0.2439,310,-0.0062,-0.0041,-0.4072,0.2377,321,-0.190280373831776
2026-05-08,"WAS @ TOR","1642781","Georgia Amoore","WAS",2026-05-08 15:46:44.939302,"fd",0.1429,600,-0.0544,-0.0317,-3.174,0.0884,1031,-1.48317757009346
